movie,sentence,score
이니셰린의 밴시,다른 정보는 모르고 줄거리만 보고 어떻게 이 이야기를 그려나갈까 궁금했는데 어떻게 보면 단순한 내용인데 그걸 이렇게 풀어가다니 굿굿,7
플레인,"요즘 볼 영화가 없다고, 나는 애니메이션 안 보는데 하는 사람들이 극장에서 볼 영화로 선택하기 좋을 것 같습니다. 엄청나게 탄탄하거나 재미가 있진 않지만 이 정도면 그래도 재밌게 볼 수 있을 것 같아요",7
데시벨,"개떡같은 줄거리, 말도 안 되는 개연성, 그나마 고군분투하는 연기력",1
언어의 정원,"45분 정도의 러닝타임에 다 담아내지 못한 열린 결말, 행복이기를...",10
가구야공주 이야기,와 초반에 지루해서 폰만보다가 다케노코였나 이름생길때부터 꿀잼,10
플레인,킬링타임으로 볼만해요~,7
소울메이트,감성적이고 재밌었어요.,7
카운트,리얼 노잼.... 따분했어요 ㅠ,1
소울메이트,재밌고 볼만해요,8
더 퍼스트 슬램덩크,진짜 좋네요.OST도 여운이 오래 가네요,10
샤잠! 신들의 분노,굿즈 아니었으면 굳이 안봤을듯싶ㅇ므,7
앤트맨과 와스프: 퀀텀매니아,페이즈4의 영화보단 전체적으로 무난하긴 한데..,7
소울메이트,잔잔하게 흘러가는...여러 생각이 드네요.,5
어떤 영웅,불어나기 시작한 거짓의 여파는 막을 수가 없다,8
스즈메의 문단속,역시 영상미와 ost는 훌륭했다. 그렇지만 스토리는 너무 부족했다.&amp;lt;모노노케 히메&amp;gt;&amp;lt;하울의 움직이는 성&amp;gt;&amp;lt;센과 치히로의 행방불명&amp;gt; 무려 이 세개의 영화가 다 섞여있는 느낌이었다. 말하고자 하는 바가 너무 많아 이도저도 아니게 된 케이스.. 아이디어와 소재에 비해 전달려과 표현력이 너무 아쉽다. 다 섞여버려서 잡탕같지만 그래도 잡탕중엔 있어보이고 맛있는. 그런 느낌이다. 전반적으로 크게 나쁘지 않으니 기대 없이 킬링타임용으로 보면 좋을 것 겉다.,5
샤잠! 신들의 분노,개그코드가 잘 맞아서 많이 웃었음 ㅋㅋㅋ,7
샤잠! 신들의 분노,퀀텀매니아 보단 훨 좋네요!!,7
소울메이트,따뜻한 영화입니다. 리메이크 잘 됐네요,8
죽은 자들의 골짜기,킬링타임용 정도 되는 영화,6
스즈메의 문단속,재미있게 잘 봤습니다.,7
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",재미있게 잘 봤습니다.,7
나이브스 아웃,모든 것이 완벽에 가깝지만 결말을 이끌어내는 스토리가 조금 아쉽다.,9
스윙걸즈,청소년 드라마는 이렇게 만들어야 한다,10
소울메이트,여자감성에 충실하다보니 관객스펙트럼이 좁은 영화,6
창피해,동성애 필터링. 요즘 퀴어공장이라도 생긴건가,1
마녀(魔女) Part2. The Other One,그냥 재미이있음.내스타일이야~ ,10
스즈메의 문단속,"감동 그 자체, &amp;#34;박수칠때 떠나라&amp;#34;일까요? 솔직히 4편까지는 더 해주시면 좋을듯 해요 ㅠㅠ ",10
자백,오와... 반전 ,8
티파니에서 아침을,60년대 뉴욕의 모습이 좋은 참고가 된다 동시대 한국은 가난 그자체였으니 더욱 선망했을듯 영화통째로 티파니 보석상PPL 하는 그들의 자본력 기획력 놀랍다 수많은 아시아국가들이 결혼예물로 옥반지금반지보다 다이아를 필수로 만든 홍보물이 아닐지,6
다음 소희,이해가 안되네요 요즘 누가 저런데서  일합니까  돈도 적은데 재미는 있네요 ,10
스즈메의 문단속,배경이 너무 예뻤습니다스토리는 좀 보다만 느낌이지만배경과 연출을 보다면 정말 좋은 작품인것 같습니다,10
똑똑똑,아쉬움이 많은 작품이네요,4
더 퍼스트 슬램덩크,원작보다 작화나내용이 업글됨완벽해요 ,10
스즈메의 문단속,역시 작화는 최고구요스토리는 2시간분량 애니로 괜찬타고보아요너의이름은 강력해서 뭔가끝에가 아쉽다?,8
더 퍼스트 슬램덩크,굉장히 재밌게 잘 봤습니다 ㅎㅎ,10
샤잠! 신들의 분노,"샤잠! 관람객의 분노!!Shazam! Fury of the audience, 2023",1
어쩌면 우린 헤어졌는지 모른다,담담한영화 이동휘생활연기지린다,7
이니셰린의 밴시,다정함에 대해 생각하게 만드는 영화. 마지막까지도 강아지를 걱정해주는 두 주인공.,9
애프터썬,"(아직까지는) 올해 최고의 영화. 아버지의 연기도 엄청났지만, 레옹의 나탈리 포트만 이후로 이렇게 예쁘고 연기 잘하는 아역은 처음이다.",10
플레인,우리나라 영화 중에 &amp;#39;마지막 방위&amp;#39;라는 작품이 있음. 보는 내내 그 작품 생각이 났다.,6
쉬리,무식이형 군에 있을때 스토리네요 ㄷㄷ,10
콜 제인,그들의 연대에 응원을 보내며. 근데 결말이 좀 급작스러웠던 느낌.,8
늑대사냥,그냥 싹다 죽이는 영화 감동도 없고 스토리도 없고...,1
죽이러 갑니다,재밌게 봤음팔 잘리는거,10
스즈메의 문단속,여운이 많이 남네요 잘봤습니다,10
압꾸정,이런거 만들돈으로 불우이웃돕기를해라,1
벌새,와 수작이다 박시후 연기굿,10
영웅,여운이 많이 남는 영화입니다.,10
시애틀의 잠 못 이루는 밤,음악은 좋지만 얄팍한 장거리 로맨스. 아들양반.은근히 거슬려..,4
에브리씽 에브리웨어 올 앳 원스+,올해 최고의 영화! 최근 무슨 영화를 봐도 시큰둥하고 재미를 못느껴서 나이든 탓인가 했는데 .. 다른 영화들이 이만큼 못만든 거였음,10
